dma	googleid
Bend OR	US-OR-821
Eugene OR	US-OR-801
Portland OR	US-OR-820
Yakima-Pasco-Richland-Kennewick WA	US-OR-810
Erie PA	US-PA-516
Harrisburg-Lancaster-Lebanon-York PA	US-PA-566
Johnstown-Altoona PA	US-PA-574
Pittsburgh PA	US-PA-508
Wilkes Barre-Scranton PA	US-PA-577
Charleston SC	US-SC-519
Columbia SC	US-SC-546
Rapid City SD	US-SD-764
Jackson TN	US-TN-639
Abilene-Sweetwater TX	US-TX-662
Austin TX	US-TX-635
Beaumont-Port Arthur TX	US-TX-692
Corpus Christi TX	US-TX-600
Dallas-Ft. Worth TX	US-TX-623
Harlingen-Weslaco-Brownsville-McAllen TX	US-TX-636
Houston TX	US-TX-618
Laredo TX	US-TX-749
Lubbock TX	US-TX-651
Odessa-Midland TX	US-TX-633
San Angelo TX	US-TX-661
San Antonio TX	US-TX-641
Tyler-Longview(Lufkin & Nacogdoches) TX	US-TX-709
Victoria TX	US-TX-626
Waco-Temple-Bryan TX	US-TX-625
Bluefield-Beckley-Oak Hill WV	US-VA-559
Charlottesville VA	US-VA-584
Harrisonburg VA	US-VA-569
Richmond-Petersburg VA	US-VA-556
Roanoke-Lynchburg VA	US-VA-573
Seattle-Tacoma WA	US-WA-819
Clarksburg-Weston WV	US-WV-598
Green Bay-Appleton WI	US-WI-658
Madison WI	US-WI-669
Milwaukee WI	US-WI-617
Wausau-Rhinelander WI	US-WI-705
Casper-Riverton WY	US-WY-767
